,BDI,CPI,EFFR,IPI,Unemployment,CRB_Change,Fed_Assets_Change,PCE_Change,SP500_Change,USD_Index_Change,CRB_MA_3,CRB_MA_6,CRB_MA_12,CRB_Lag_1,CRB_Lag_2,CRB_Lag_3,CRB_Lag_6
11,-0.6440722281912773,1.0776946221471837,0.259804749486602,-0.9817532514550001,0.09713211486231639,-0.15165765832366274,0.9043500222714026,-0.1366842409235898,-0.26874445373580486,0.008760433920504615,-0.9331230328731009,-0.9216729672942113,-0.8541094898837431,-1.055347530039724,-0.9080967331601943,-0.6170521190291138,-0.38100880184928776
12,-0.6440722281912773,0.7638818176986168,0.08921035165372733,-1.0155615440461643,0.09713211486231639,1.39110683548075,-0.7409620349676378,0.2996573675227579,-0.26874445373580486,-0.07683563707010949,0.10360566880018784,-0.49378582090621953,-0.6365014618410182,-0.10464789149186317,-1.046795010923399,-0.8844145988835409,0.016661432669448105
13,-0.6440722281912773,0.6016095659377377,0.10278945162805994,-1.0097746452590963,0.160665167596438,-0.35850172447967366,-0.8672694287531463,0.5137417230461601,-0.26874445373580486,-0.016109751724558363,0.42970428417528655,-0.45422518952088303,-0.716608533012477,1.4463316107756075,-0.1071115368184589,-1.0200993782500782,-0.3672987473388453
14,-0.6440722281912773,0.44102326001843145,0.2267986993728403,-0.7876570770203858,0.09713211486231639,0.12216884065790476,-0.18201486433600933,0.8620744852175816,-0.26874445373580486,0.03387532943762204,0.5505651666430067,-0.22205127577955752,-0.6240621920169009,-0.3125933738140024,1.4258961007802973,-0.10083241319094297,-0.5453357956823288
15,-0.6440722281912773,0.5820203949329866,0.34856189814732513,-0.6171471063272386,0.09713211486231639,-0.575560025545224,-2.232555129675701,0.9893003702883999,-0.26874445373580486,-0.4008966307129168,-0.3174775291065395,-0.11180685337379066,-0.5959202956247727,0.1706366958859416,-0.3126474656543654,1.398867557344566,-0.8071151896369524
16,-0.6440722281912773,0.569129238760627,0.40699317386257583,-0.4125228380670511,0.09713211486231639,-0.4139899414348071,-1.4410660843443035,1.1419809960141873,-0.26874445373580486,-0.045434016412478725,-0.3419687850394036,0.08530807001866382,-0.5490419228566433,-0.5308074804398902,0.16498320998279153,-0.3019026615440537,-0.9399665879736915
17,-0.6440722281912773,0.5627333700721828,0.4920155451461234,-0.5603925827817623,0.160665167596438,0.018454140111361733,-1.0680173793061845,0.3504367924328566,-0.26874445373580486,-0.14169614143533057,-0.38774613047365364,0.13437877465185616,-0.4541162984352522,-0.3683770578826953,-0.5283330318402594,0.16535052925014768,-0.03989583336851122
19,-0.6440722281912773,0.39888241620809517,0.5384903411694044,-0.032516093536985514,0.160665167596438,-0.5081871237165139,-0.011003970099244649,-0.4889968638501094,-0.26874445373580486,-1.0997974730059588,-0.22556883612453332,-0.34294444725378626,-0.46026529154431395,-0.06671781603833096,0.06192442900382294,-0.355841987777492,-0.23676731580255408
20,-0.6440722281912773,0.24299339852177343,0.4718723407062625,0.7540728529429943,0.03267153959873565,-0.49275746984583013,0.05193118125482053,-0.4635131043446338,-0.26874445373580486,-0.544202558654925,-0.45120618874367907,-0.5203270134926179,-0.42614919370456095,-0.46307582718740403,-0.06962097341645829,0.06453090708591816,0.22072865437272693
21,-0.6440722281912773,0.08867901714830455,0.40193654842671,1.0528140775515422,0.160665167596438,-0.5279818976931836,-0.10531926742413057,-0.1713399117321138,-0.26874445373580486,-0.12984200017721653,-0.6339600893713592,-0.5066025553403546,-0.34895936992791615,-0.4475640125348,-0.46138621430240534,-0.06415640750749575,-0.44336057370708043
22,-0.6440722281912773,-0.06408446962946192,0.2064335742330553,0.7277098248579092,0.160665167596438,0.3588826836081162,0.1620745074284058,0.8646974400804016,-0.26874445373580486,-1.0647986960611966,-0.2512549002675646,-0.28365855820750896,-0.0874076490024563,-0.4829760056094026,-0.4460541416988067,-0.44740976241822283,-0.28958027646703605
24,-0.6440722281912773,0.21590245817319528,-0.019996295191379444,1.5454146513503435,-0.032744041829538606,0.9667839077016321,-2.7389675101310504,0.8736563071486657,-0.26874445373580486,-0.758742812497664,1.4621992834096555,0.5692628692730722,0.20389979078406656,1.9524418861928508,0.40020001113768777,-0.46665198770198163,-0.003985699135328298
25,-0.6440722281912773,0.06860358670250868,0.1408799259883926,1.784222369513344,0.03267153959873565,0.9582153607100841,-0.3363588182219239,-0.529343803556289,-0.26874445373580486,-0.2804580927345609,1.7267313010036176,0.992263530301071,0.4403979142163896,1.0197492218429733,1.9261418593783646,0.395456773413416,-0.37923592509909354
26,-0.6440722281912773,0.0636473087595252,0.2276100548263113,1.91207779492138,-0.032744041829538606,0.534033155575062,0.05103992951782927,-0.47792126327121215,-0.26874445373580486,0.11527483656319729,1.126235638704036,1.288453094832684,0.5143736670050834,1.0111350485187385,1.0042567049386397,1.888244473042878,-0.36455018193315447
28,-0.6440722281912773,-0.2363517231005856,0.3027045270538873,1.71716906273421,-0.032744041829538606,-0.21864973615855018,-0.05534934990780865,-0.48105299578443284,-0.26874445373580486,-0.07577143742159331,0.9849152064451483,1.8001601822108106,0.9803533225193976,1.8809957007493057,0.5742427845698298,0.978059757731733,0.44602980049851376
29,-0.6440722281912773,-0.24049584238447033,0.3151927412733064,1.7757575614541812,-0.09914335301241238,0.24499624141265136,-1.2144557870714399,0.6675950228634995,-0.26874445373580486,0.22347101919077492,0.8573407874559651,1.3243313477852388,1.0210429911192769,-0.17199669291520597,1.8555235515270185,0.5657181183581422,1.9076449812250271
30,-0.6440722281912773,-0.24461959296722666,0.3870646710252181,2.3621349159145844,-0.09914335301241238,0.46309603939489696,0.1385200471990828,0.29593720563591214,-0.26874445373580486,0.13228734620172775,0.25690278815227735,1.1790367894983678,1.1246834913084083,0.29411813563416245,-0.17367993879550928,1.8191604896324505,1.0246222512507293
31,-0.6440722281912773,-0.10954474734178284,0.3872143604832281,2.107379694381983,-0.16655643322401772,0.7445432803953373,0.42412829364057475,1.1740850996665497,-0.26874445373580486,0.11953992143411242,0.6820346084852845,1.1174006205909566,1.3496888421703757,0.5133792850043941,0.2870338173305786,-0.16595448305874372,1.0164668200610354
32,-0.6440722281912773,-0.11396850896070224,0.44460511868138813,2.268224057744663,-0.09914335301241238,0.7515329134479041,0.43539767315157696,-0.6982245605311344,-0.26874445373580486,0.28410709596957395,0.9056085482323057,1.1801409271102934,1.573178264434115,0.7963251938028089,0.5037542937274875,0.2847493422462935,0.6127357336488848
33,-0.6440722281912773,0.02012877529405443,0.4372191639876128,2.497727186945617,-0.3045511322816466,0.700529653905008,-0.055418110912541584,0.33390926506373314,-0.26874445373580486,0.1619807325127023,1.0104064267572916,0.8562162569092918,1.793833619966342,0.8033520456887822,0.7834215869323,0.4967611314217067,1.8400036153946393
